3438,,,基准电压,2
3500,,,衰减比例,73.333333
3559,,,,
3617,,,,
3674,,,,
3729,,,,
3783,,,,
3836,,,,
3887,,,,
3937,,,,
3986,,,,
4035,,,,
4082,,,,
4128,,,,
4173,,,,
4217,,,,
4261
4303
4345
4386
4427
4466
4505
4543
4581
4618
4654
4690
4725
4760
4794
4827
4860
4893
4925
4957
4988
5018
5049
5078
5108
5137
5165
5193
5221
5249
5276
5302
5329
5355
5381
5406
5431
5456
5480
5505
5528
5552
5575
5598
5621
5644
5666
5688
5710
5731
5753
5774
5794
5815
5835
5855
5875
5895
5915
5934
5953
5972
5991
6009
6028
6046
6064
6082
6099
6117
6134
6151
6168
6185
6202
6218
6234
6251
6267
6283
6298
6314
6329
6345
